bench,config,description,simTicks,numCycles,simInsts,average_packet_latency,cumulativeCycles,maxCycles,geoIPC
freqmine,butter_donut_x_noci_nndbt_injej_none,,28935284722.0,210452.0,216062983.0,7454.742059,124797307.0,110020094.0,0.3553605749517472
freqmine,dbl_bfly_x_noci_nndbt_injej_none,,29048339217.0,216341.0,216077619.0,7591.117209,125337167.0,110449959.0,0.35374569065746375
facesim,ft_x_noci_nndbt_injej_none,,23106174288.0,519644.0,3895700037.0,7192.673512,462280572.0,68699145.0,0.8110833840054477
facesim,kite_medium_noci_nndbt_injej_none,,23073707990.0,471175.0,3892836382.0,7173.45292,460430940.0,68734863.0,0.7597832097773308
facesim,kite_small_noci_nndbt_injej_none,,22527387821.0,487381.0,3893148180.0,6446.616041,440925144.0,67186329.0,0.8277687748861244
facesim,kite_large_noci_nndbt_injej_none,,23870164566.0,562357.0,3894555420.0,7666.524521,474795908.0,69678398.0,0.7665392318300687
facesim,butter_donut_x_noci_nndbt_injej_none,,23708137893.0,571469.0,3895188185.0,7746.488534,477036814.0,70077892.0,0.7581964955334184
facesim,dbl_bfly_x_noci_nndbt_injej_none,,24128382437.0,537774.0,3894062360.0,7970.522377,482730195.0,70286446.0,0.7484992114014388
facesim,lpbt_m_latop_noci_nndbt_injej_none,,23084257709.0,426654.0,3894586969.0,7328.515718,464726316.0,69632352.0,0.7552991547549194
facesim,lpbt_s_latop_noci_nndbt_injej_none,,23408289226.0,482762.0,3896709781.0,7125.78382,462740388.0,68089240.0,0.7962651677107359
facesim,lpbt_s_power_noci_nndbt_injej_none,,22558150931.0,469788.0,3894711016.0,6823.49922,452607327.0,67210796.0,0.8214052249760494
raytrace,lpbt_s_power_noci_nndbt_injej_none,,4090015570.0,12765818.0,7005377099.0,6241.664609,828103494.0,15512869.0,1.6431867930894295
raytrace,lpbt_m_latop_noci_nndbt_injej_none,,4111444547.0,13046139.0,7006998156.0,6609.159339,843441380.0,15595300.0,1.6152291182538714
raytrace,lpbt_s_latop_noci_nndbt_injej_none,,4085253166.0,12873527.0,7006281142.0,6382.656252,834756335.0,15497351.0,1.6314354892217315
raytrace,ft_x_noci_nndbt_injej_none,,4105691685.0,13077390.0,7007776682.0,6567.258771,845796031.0,15570373.0,1.6119123247163418
raytrace,kite_small_noci_nndbt_injej_none,,4069494469.0,12697600.0,7005399977.0,5970.202674,824478471.0,15436627.0,1.6504833788623343
raytrace,kite_medium_noci_nndbt_injej_none,,4098644074.0,12963811.0,7006073016.0,6521.069674,840441150.0,15549567.0,1.6195340444598958
raytrace,kite_large_noci_nndbt_injej_none,,4117866218.0,13104192.0,7006273989.0,6885.396596,848368956.0,15620136.0,1.605416028425298
raytrace,dbl_bfly_x_noci_nndbt_injej_none,,4141900736.0,13250311.0,7007460937.0,7199.349286,855213149.0,15711059.0,1.593277601102277
raytrace,butter_donut_x_noci_nndbt_injej_none,,4128416726.0,13163510.0,7006921932.0,6995.769016,852452423.0,15660909.0,1.5978333479958218
