bench,config,description,simTicks,numCycles,simInsts,average_packet_latency,cumulativeCycles,maxCycles,geoIPC,mpki
swaptions,butter_donut_x_noci_nndbt_injej_none,,13988851650.0,53189547.0,11875901944.0,8621.393201,3404131041.0,53189547.0,1.6461185144640662,0.0027179628029953304
swaptions,dbl_bfly_x_noci_nndbt_injej_none,,14050605365.0,53424352.0,11850190615.0,8974.008565,3419158579.0,53424352.0,1.630515730926617,0.0027307068508152336
swaptions,lpbt_s_power_noci_nndbt_injej_none,,13877635525.0,52766672.0,11964885813.0,7630.62152,3377067059.0,52766672.0,1.6891993633586733,0.002684533818007832
swaptions,lpbt_m_latop_noci_nndbt_injej_none,,13901305525.0,52856672.0,11923872134.0,8023.184764,3382827059.0,52856672.0,1.6726956531080015,0.002699415241059433
swaptions,lpbt_s_latop_noci_nndbt_injej_none,,13873857004.0,52752305.0,11942217277.0,7780.235792,3376147569.0,52752305.0,1.6824071410592998,0.0026920720975960265
swaptions,kite_medium_noci_nndbt_injej_none,,13864993904.0,52718605.0,11928398054.0,7922.886116,3373990771.0,52718605.0,1.6784567723658526,0.002697785570595344
swaptions,kite_small_noci_nndbt_injej_none,,13812194287.0,52517846.0,12011968168.0,7157.670752,3361142178.0,52517846.0,1.7122921166183125,0.0026630103629775004
swaptions,kite_large_noci_nndbt_injej_none,,13939540728.0,53002053.0,11861605158.0,8603.597971,3392131443.0,53002053.0,1.6474222309814095,0.002725322377527852
swaptions,ft_x_noci_nndbt_injej_none,,13897709789.0,52843000.0,11932233519.0,7977.216373,3381952051.0,52843000.0,1.6755130938088643,0.0026963392053630762
swaptions,lpbt_s_latop_noci_nndbt_picky_none,,13822320313.0,52556348.0,11994746619.0,7142.105914,3363606295.0,52556348.0,1.7061602815905423,0.002672257384226083
swaptions,lpbt_s_power_noci_nndbt_picky_none,,13818805581.0,52542984.0,12018214210.0,6964.493386,3362750969.0,52542984.0,1.7141427289496158,0.0026617799767559426
swaptions,lpbt_m_latop_noci_nndbt_picky_none,,13827843839.0,52577350.0,11992031860.0,7189.566292,3364950451.0,52577350.0,1.704669024090576,0.0026711554552368184
swaptions,butter_donut_x_noci_nndbt_picky_none,,13867774603.0,52729178.0,11942485305.0,7617.725982,3374667443.0,52729178.0,1.683348010805519,0.0026959949095006334
swaptions,dbl_bfly_x_noci_nndbt_picky_none,,13924951592.0,52946581.0,11917523771.0,7938.635168,3388581161.0,52946581.0,1.6682469464210654,0.0027089928037113283
swaptions,ft_x_noci_nndbt_picky_none,,13821921342.0,52554831.0,11993528329.0,7186.19939,3363509213.0,52554831.0,1.705210403342541,0.0026739272703934845
swaptions,kite_large_noci_nndbt_picky_none,,13848698950.0,52656647.0,11956976590.0,7485.065932,3370025459.0,52656647.0,1.6897881991615653,0.0026871840752555436
swaptions,kite_medium_noci_nndbt_picky_none,,13801577766.0,52477479.0,11993598882.0,7150.405953,3358558707.0,52477479.0,1.7077686015466753,0.002673660230742944
swaptions,kite_small_noci_nndbt_picky_none,,13761130733.0,52323688.0,12057234956.0,6591.621332,3348716083.0,52323688.0,1.7339071399196055,0.002646026249267549
