bench,config,description,simTicks,numCycles,simInsts,average_packet_latency,cumulativeCycles,maxCycles,geoIPC,mpki
ferret,lpbt_m_latop_noci_nndbt_picky_none,,13869199800.0,128773.0,950726094.0,7331.373451,492747008.0,52734595.0,0.41914576098231066,0.32452803685341186
ferret,lpbt_s_latop_noci_nndbt_picky_none,,13828404292.0,123856.0,991759227.0,6987.206336,521437029.0,52579479.0,0.44351673088422144,0.3220681334859029
ferret,lpbt_s_power_noci_nndbt_picky_none,,13546560079.0,117481.0,966668706.0,6919.328604,510400799.0,51507828.0,0.42248888503926557,0.32937464614658035
fluidanimate,butter_donut_x_noci_nndbt_picky_none,,24131628909.0,71417991.0,10199304344.0,8590.819249,4567635466.0,90361475.0,1.122179979328107,0.12761090118691198
fluidanimate,dbl_bfly_x_noci_nndbt_picky_none,,24320795078.0,73132896.0,10199791546.0,9266.077406,4661541812.0,92020329.0,1.099298394833051,0.12907820235316902
fluidanimate,ft_x_noci_nndbt_picky_none,,23284256322.0,70834600.0,10133270019.0,7904.292776,4465354063.0,88289103.0,1.1330168220691916,0.12920208259020388
fluidanimate,kite_large_noci_nndbt_picky_none,,23737188347.0,71455829.0,10120838110.0,8579.889355,4508870404.0,90194570.0,1.11904924890027,0.1308194906149412
fluidanimate,kite_medium_noci_nndbt_picky_none,,23441449844.0,70760414.0,10196295621.0,7844.25269,4501068274.0,88525713.0,1.1378617031417522,0.1272077107254672
fluidanimate,kite_small_noci_nndbt_picky_none,,23245470134.0,69199963.0,10182305918.0,7071.438407,4451103411.0,88268334.0,1.1476254655609088,0.12928605462422377
fluidanimate,lpbt_m_latop_noci_nndbt_picky_none,,23471804252.0,71320963.0,10163894536.0,8198.539085,4498001921.0,88929770.0,1.1316736862348806,0.12775382073093033
fluidanimate,lpbt_s_latop_noci_nndbt_picky_none,,23521704820.0,71102671.0,10166313952.0,8367.013072,4495653949.0,89252876.0,1.132923126878946,0.12738298643889118
fluidanimate,lpbt_s_power_noci_nndbt_picky_none,,24259334608.0,71553255.0,10182355820.0,8129.730373,4525869776.0,90050056.0,1.1287443149782295,0.13007194989046256
freqmine,butter_donut_x_noci_nndbt_picky_none,,28935284722.0,210452.0,216062983.0,7454.742059,124797307.0,110020094.0,0.3553605749517472,0.3685890924910191
freqmine,dbl_bfly_x_noci_nndbt_picky_none,,29048339217.0,216341.0,216077619.0,7591.117209,125337167.0,110449959.0,0.35374569065746375,0.368535973054545
freqmine,ft_x_noci_nndbt_picky_none,,28456083205.0,209273.0,215974358.0,7020.965302,122435634.0,108198035.0,0.36266236078986314,0.36899140112905615
freqmine,kite_large_noci_nndbt_picky_none,,28546213305.0,213657.0,215990465.0,7035.829041,123095841.0,108540735.0,0.3558155420988362,0.3688367817640499
freqmine,kite_medium_noci_nndbt_picky_none,,28362338959.0,201872.0,215966358.0,6909.380493,122004206.0,107841593.0,0.36377924477485934,0.3690547142574091
freqmine,kite_small_noci_nndbt_picky_none,,27674838286.0,192931.0,215816530.0,6404.669268,118532883.0,105227522.0,0.37641727940352765,0.36924172062593247
freqmine,lpbt_m_latop_noci_nndbt_picky_none,,28137241993.0,206083.0,215927098.0,6996.615155,121108175.0,106985711.0,0.36201022525897114,0.36904108951469117
